City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,bandarbeyla,9.4942,50.8122,298.39,69,20,8.94,SO,1701479451
110,luderitz,-26.6481,15.1594,291.56,74,98,7.49,NA,1701479125
111,aasiaat,68.7098,-52.8699,262.98,84,52,4.07,GL,1701479062
112,port lincoln,-34.7333,135.8667,291.49,54,14,4.25,AU,1701479040
113,labrador city,52.9463,-66.9114,251.1,84,0,2.06,CA,1701478999
114,margaret river,-33.95,115.0667,293.05,67,100,3.27,AU,1701478897
115,sabang,5.8933,95.3214,299.77,85,100,8.28,ID,1701479454
116,barra de santo antonio,-9.4047,-35.5072,297.75,83,73,4.64,BR,1701479420
117,salekhard,66.53,66.6019,246.9,100,100,0.08,RU,1701479454
118,college,64.8569,-147.8028,255.12,78,20,0.0,US,1701479014
119,mendi,-6.1761,143.6513,293.92,66,88,2.13,PG,1701479455
120,nuuk,64.1835,-51.7216,273.49,93,100,2.57,GL,1701479177
121,sablayan,12.8346,120.769,301.88,69,17,2.69,PH,1701479455
122,um jar al gharbiyya,13.8013,32.4078,299.76,28,6,4.23,SD,1701479456
123,saint-philippe,-21.3585,55.7679,297.92,80,100,0.83,RE,1701479089
124,geraldton,-28.7667,114.6,297.38,69,0,6.69,AU,1701478992
125,muroto-misakicho,33.2833,134.15,282.75,54,1,4.45,JP,1701479458
126,badger,64.8,-147.5333,255.08,85,20,0.0,US,1701479023
127,sao vicente,-23.9631,-46.3919,300.52,26,34,2.19,BR,1701479459
128,vilyuchinsk,52.9306,158.4028,268.3,75,8,5.31,RU,1701479070
129,temple,31.0982,-97.3428,287.68,69,0,2.57,US,1701479460
130,gwadar,25.1216,62.3254,297.12,70,0,2.24,PK,1701479460
131,caleta de carquin,-11.0925,-77.6267,293.4,85,69,4.67,PE,1701479461
132,ulsteinvik,62.3432,5.8487,275.79,82,97,2.24,NO,1701479462
133,trincomalee,8.5711,81.2335,297.92,95,100,6.57,LK,1701479463
134,daru,-9.0763,143.2092,303.81,65,100,4.34,PG,1701479463
